step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
14,2.0352475211835777,4.0470286384479087e+30,6.0107766565654535,1.0241234185643823e-37,6.336397527397485,8.994784785805734e+131,5.869191688821421e+37,1.0696096380854017,0.30861723446893796,True,COHERENT CORE,True
15,2.1412201548157292,4.257752041246433e+30,6.323749808892631,1.0415984540224213e-37,6.444518061954464,8.994784785805734e+131,6.07119738366711e+37,1.067474576188774,0.3306613226452906,True,COHERENT CORE,True
16,2.252710642645981,4.479447531582253e+30,6.65301905732756,1.0593716731355984e-37,6.554483501276706,8.99478478580573e+131,6.280155705537712e+37,1.065344215657648,0.3527054108216433,True,COHERENT CORE,True
17,2.370006292009329,4.712686411471791e+30,6.999432917937447,1.0774481639331994e-37,6.666325325726444,8.994784785805734e+131,6.4963059497787625e+37,1.0632185461397066,0.37474949899799603,True,COHERENT CORE,True
18,2.4934093699518796,4.958069729868214e+30,7.363884087893449,1.0958331012636292e-37,6.780075552828169,8.99478478580573e+131,6.719895647797088e+37,1.0610975573054282,0.3967935871743487,True,COHERENT CORE,True
19,2.6232378821631235,5.216229831544906e+30,7.747311745922064,1.1145317482758409e-37,6.8957667464344485,8.99478478580573e+131,6.951180850529387e+37,1.0589812388480369,0.4188376753507015,True,COHERENT CORE,True
20,2.7598263924661803,5.487831986627226e+30,8.150703972537931,1.1335494579260436e-37,7.01343202604814,8.994784785805734e+131,7.190426421667177e+37,1.056869580483452,0.4408817635270541,True,COHERENT CORE,True
21,2.9035268849778144,5.773576104971834e+30,8.575100296294947,1.1528916745101217e-37,7.133105076303688,8.99478478580573e+131,7.437906340973981e+37,1.0547625719502383,0.46292585170340683,True,COHERENT CORE,True
22,3.0547096711599697,6.074198539811465e+30,9.021594372617303,1.1725639352221992e-37,7.254820156610183,8.99478478580573e+131,7.693904018042072e+37,1.0526602030095558,0.48496993987975956,True,COHERENT CORE,True
23,3.213764344100278,6.390473985313079e+30,9.49133680211368,1.1925718717398013e-37,7.378612110958984,8.99478478580573e+131,7.958712616848075e+37,1.0505624634451105,0.5070140280561123,True,COHERENT CORE,True
24,3.3811007824806856,6.723217472939369e+30,9.985538095637347,1.2129212118360632e-37,7.504516377898681,8.994784785805732e+131,8.232635391479144e+37,1.0484693430631045,0.529058116232465,True,COHERENT CORE,True
25,3.557150206821386,7.07328647175812e+30,10.50547179373294,1.2336177810194486e-37,7.632569000680268,8.994784785805734e+131,8.515986033414118e+37,1.046380831692186,0.5511022044088176,True,COHERENT CORE,True
26,3.7423662907219817,7.441583098111939e+30,11.052477748508775,1.2546675042014473e-37,7.762806637575427,8.994784785805732e+131,8.809089030757432e+37,1.0442969191834013,0.5731462925851704,True,COHERENT CORE,True
27,3.9372263299634813,7.829056440342484e+30,11.627965576391793,1.2760764073927297e-37,7.895266572370879,8.994784785805729e+131,9.11228003983709e+37,1.042217595410143,0.5951903807615231,True,COHERENT CORE,True
28,4.142232472483897,8.236705004560056e+30,12.233418290662952,1.2978506194282423e-37,8.029986725041793,8.994784785805732e+131,9.425906269592325e+37,1.0401428502681036,0.6172344689378758,True,COHERENT CORE,True
29,4.35791301239703,8.665579287761122e+30,12.870396123133853,1.3199963737217426e-37,8.16700566260734,8.994784785805735e+131,9.750326879191074e+37,1.0380726736752246,0.6392785571142285,True,COHERENT CORE,True
30,4.584823751389096,9.116784484924675e+30,13.540540544813018,1.3425200100502682e-37,8.306362610171465,8.994784785805732e+131,1.008591338933266e+38,1.036007055571648,0.6613226452905812,True,COHERENT CORE,True
31,4.823549431001468,9.59148333706349e+30,14.245578495922919,1.3654279763690567e-37,8.448097462152052,8.994784785805734e+131,1.0433050107706692e+38,1.0339459859196676,0.6833667334669339,True,COHERENT CORE,True
32,5.074705239490468,1.0090899127569612e+31,14.987326836168329,1.3887268306574355e-37,8.592250793701709,8.994784785805734e+131,1.0792134569095348e+38,1.0318894547036797,0.7054108216432866,True,COHERENT CORE,True
33,5.338938397147355,1.06163188345756e+31,15.767697026724298,1.4124232427962071e-37,8.738863872323408,8.994784785805729e+131,1.1163577990623138e+38,1.0298374519301352,0.7274549098196393,True,COHERENT CORE,True
34,5.61692982416381,1.116909644745501e+31,16.588700056008964,1.4365239964770685e-37,8.887978669684353,8.994784785805735e+131,1.154780574267544e+38,1.02778996762749,0.7494989979959921,True,COHERENT CORE,True
35,5.909395895340971,1.175065645600866e+31,17.452451621934852,1.4610359911446164e-37,9.039637873631428,8.994784785805729e+131,1.1945257836025048e+38,1.0257469918461577,0.7715430861723447,True,COHERENT CORE,True
36,6.217090286163828,1.2362497521328189e+31,18.361177583993076,1.4859662439714813e-37,9.193884900411637,8.994784785805734e+131,1.235638942572471e+38,1.0237085146584608,0.7935871743486974,True,COHERENT CORE,True
37,6.540805914998256,1.3006196337796582e+31,19.31721969922033,1.5113218918671734e-37,9.350763907101127,8.994784785805734e+131,1.2781671332342534e+38,1.0216745261585816,0.8156312625250501,True,COHERENT CORE,True
38,6.881376986415669,1.3683411696177964e+31,20.32304165683009,1.5371101935211985e-37,9.510319804246226,8.994784785805732e+131,1.3221590581137352e+38,1.0196450164625155,0.8376753507014029,True,COHERENT CORE,True
39,7.239681140910877,1.4395888758267052e+31,21.381235427058964,1.5633385314810414e-37,9.672598268720229,8.994784785805732e+131,1.3676650959791336e+38,1.017619975708022,0.8597194388777556,True,COHERENT CORE,True
40,7.616641716552892,1.514546355411393e+31,22.494527940589126,1.5900144142656047e-37,9.837645756799544,8.994784785805735e+131,1.4147373595338689e+38,1.0155993940545773,0.8817635270541082,True,COHERENT CORE,True
41,8.013230128396888,1.593406771341336e+31,23.66578811575936,1.6171454785147109e-37,10.005509517462968,8.994784785805735e+131,1.4634297550951026e+38,1.013583261683326,0.9038076152304609,True,COHERENT CORE,True
42,8.43046837178897,1.6763733443251214e+31,24.898034251673597,1.6447394911752814e-37,10.176237605917887,8.994784785805734e+131,1.5137980443262908e+38,1.011571568797034,0.9258517034068137,True,COHERENT CORE,True
43,8.869431656014712,1.7636598765035574e+31,26.1944418062589,1.6728043517248193e-37,10.349878897357282,8.994784785805734e+131,1.5658999080944496e+38,1.0095643056200396,0.9478957915831664,True,COHERENT CORE,True
44,9.33125117507825,1.8554913024107848e+31,27.558351579316433,1.7013480944328333e-37,10.526483100951479,8.994784785805734e+131,1.6197950125252512e+38,1.007561462398208,0.9699398797595191,True,COHERENT CORE,True
45,9.817117022752196,1.952104268623206e+31,28.993278321653207,1.7303788906608487e-37,10.70610077407865,8.994784785805732e+131,1.675545077331612e+38,1.0055630293988826,0.9919839679358718,True,COHERENT CORE,True
46,10.328281259410291,2.0537477435899583e+31,30.502919792479716,1.759905051201664e-37,10.888783336798117,8.994784785805735e+131,1.7332139464940057e+38,1.0035689969108372,1.0140280561122246,True,COHERENT CORE,True
47,10.866061138545975,2.1606836592164513e+31,32.09116628841429,1.7899350286585245e-37,11.07458308657065,8.994784785805729e+131,1.7928676613734505e+38,1.0015793552442305,1.0360721442885772,True,COHERENT CORE,True
